calibration_protocol_1.1,1.4.20190923,<User Name>,15/11/2019,12:00,,
SourcePlate500_90,Source Plate 1,,MWP 384,Target Plate 1,,Eppi
DispenseToWaste=True,DispenseToWasteCycles=3,DispenseToWasteVolume=1e-7,UseDeionisation=True,OptimizationLevel=ReorderAndParallel,WasteErrorHandlingLevel=Ask,
,Source Well,Target Well,Volume [L],Liquid Name
118,C3,A2,0.003,(NH4)2SO4 (mM)
119,C4,A2,0.0,(NH4)2SO4 (mM)
120,C5,A2,0.0075,(NH4)2SO4 (mM)
121,C6,A2,0.0075,(NH4)2SO4 (mM)
122,C7,A2,0.0,(NH4)2SO4 (mM)
123,C8,A2,0.0075,(NH4)2SO4 (mM)
124,C9,A2,0.0,(NH4)2SO4 (mM)
125,C10,A2,0.0,(NH4)2SO4 (mM)
126,C11,A2,0.0,(NH4)2SO4 (mM)
127,C12,A2,0.0015,(NH4)2SO4 (mM)
128,D1,A2,0.0,(NH4)2SO4 (mM)
129,D2,A2,0.0,(NH4)2SO4 (mM)
130,D3,A2,0.0075,(NH4)2SO4 (mM)
131,D4,A2,0.0075,(NH4)2SO4 (mM)
132,D5,A2,0.005,(NH4)2SO4 (mM)
133,D6,A2,0.003,(NH4)2SO4 (mM)
134,D7,A2,0.0075,(NH4)2SO4 (mM)
135,D8,A2,0.0,(NH4)2SO4 (mM)
136,D9,A2,0.003,(NH4)2SO4 (mM)
137,D10,A2,0.0,(NH4)2SO4 (mM)
138,D11,A2,0.0075,(NH4)2SO4 (mM)
139,D12,A2,0.0075,(NH4)2SO4 (mM)
140,E1,A2,0.0075,(NH4)2SO4 (mM)
141,E2,A2,0.0,(NH4)2SO4 (mM)
142,E3,A2,0.005,(NH4)2SO4 (mM)
143,E4,A2,0.0075,(NH4)2SO4 (mM)
144,E5,A2,0.0,(NH4)2SO4 (mM)
145,E6,A2,0.005,(NH4)2SO4 (mM)
146,E7,A2,0.0075,(NH4)2SO4 (mM)
147,E8,A2,0.0075,(NH4)2SO4 (mM)
148,E9,A2,0.0,(NH4)2SO4 (mM)
149,E10,A2,0.0,(NH4)2SO4 (mM)
150,E11,A2,0.0,(NH4)2SO4 (mM)
151,E12,A2,0.0,(NH4)2SO4 (mM)
152,F1,A2,0.0075,(NH4)2SO4 (mM)
153,F2,A2,0.0075,(NH4)2SO4 (mM)
154,F3,A2,0.0,(NH4)2SO4 (mM)
155,F4,A2,0.003,(NH4)2SO4 (mM)
156,F5,A2,0.0015,(NH4)2SO4 (mM)
157,F6,A2,0.0,(NH4)2SO4 (mM)
158,F7,A2,0.0075,(NH4)2SO4 (mM)
159,F8,A2,0.0,(NH4)2SO4 (mM)
160,F9,A2,0.0075,(NH4)2SO4 (mM)
161,F10,A2,0.0,(NH4)2SO4 (mM)
162,F11,A2,0.0075,(NH4)2SO4 (mM)
163,F12,A2,0.0015,(NH4)2SO4 (mM)
164,G1,A2,0.0075,(NH4)2SO4 (mM)
165,G2,A2,0.0075,(NH4)2SO4 (mM)
166,G3,A2,0.0075,(NH4)2SO4 (mM)
167,G4,A2,0.0,(NH4)2SO4 (mM)
168,G5,A2,0.0,(NH4)2SO4 (mM)
169,G6,A2,0.003,(NH4)2SO4 (mM)
170,G7,A2,0.0,(NH4)2SO4 (mM)
171,G8,A2,0.005,(NH4)2SO4 (mM)
172,G9,A2,0.0075,(NH4)2SO4 (mM)
173,G10,A2,0.0015,(NH4)2SO4 (mM)
174,G11,A2,0.0075,(NH4)2SO4 (mM)
175,G12,A2,0.0075,(NH4)2SO4 (mM)
176,H1,A2,0.0075,(NH4)2SO4 (mM)
177,H2,A2,0.0015,(NH4)2SO4 (mM)
178,H3,A2,0.0,(NH4)2SO4 (mM)
179,H4,A2,0.0,(NH4)2SO4 (mM)
180,H5,A2,0.0,(NH4)2SO4 (mM)
181,H6,A2,0.005,(NH4)2SO4 (mM)
182,H7,A2,0.0075,(NH4)2SO4 (mM)
183,H8,A2,0.0,(NH4)2SO4 (mM)
184,A1,A3,0.005,KCl (mM)
185,A2,A3,0.0075,KCl (mM)
186,A3,A3,0.0,KCl (mM)
187,A4,A3,0.0125,KCl (mM)
188,A5,A3,0.0125,KCl (mM)
189,A6,A3,0.0,KCl (mM)
190,A7,A3,0.0125,KCl (mM)
191,A8,A3,0.0,KCl (mM)
192,A9,A3,0.0125,KCl (mM)
193,A10,A3,0.0125,KCl (mM)
194,A11,A3,0.0,KCl (mM)
195,A12,A3,0.0,KCl (mM)
196,B1,A3,0.005,KCl (mM)
197,B2,A3,0.0125,KCl (mM)
198,B3,A3,0.0125,KCl (mM)
199,B4,A3,0.0,KCl (mM)
200,B5,A3,0.0125,KCl (mM)
201,B6,A3,0.0,KCl (mM)
202,B7,A3,0.0,KCl (mM)
203,B8,A3,0.0,KCl (mM)
204,B9,A3,0.0,KCl (mM)
205,B10,A3,0.0,KCl (mM)
206,B11,A3,0.0125,KCl (mM)
207,B12,A3,0.0025,KCl (mM)
208,C1,A3,0.0125,KCl (mM)
209,C2,A3,0.0,KCl (mM)
210,C3,A3,0.0025,KCl (mM)
211,C4,A3,0.0125,KCl (mM)
212,C5,A3,0.0125,KCl (mM)
213,C6,A3,0.0,KCl (mM)
214,C7,A3,0.0125,KCl (mM)
215,C8,A3,0.0125,KCl (mM)
216,C9,A3,0.0,KCl (mM)
217,C10,A3,0.0125,KCl (mM)
218,C11,A3,0.0125,KCl (mM)
219,C12,A3,0.0075,KCl (mM)
220,D1,A3,0.0,KCl (mM)
221,D2,A3,0.0,KCl (mM)
222,D3,A3,0.0,KCl (mM)
223,D4,A3,0.0,KCl (mM)
224,D5,A3,0.0125,KCl (mM)
225,D6,A3,0.0125,KCl (mM)
226,D7,A3,0.0125,KCl (mM)
227,D8,A3,0.0125,KCl (mM)
228,D9,A3,0.0075,KCl (mM)
229,D10,A3,0.0,KCl (mM)
230,D11,A3,0.0,KCl (mM)
231,D12,A3,0.0125,KCl (mM)
232,E1,A3,0.0,KCl (mM)
233,E2,A3,0.0,KCl (mM)
234,E3,A3,0.0075,KCl (mM)
235,E4,A3,0.0125,KCl (mM)
236,E5,A3,0.0,KCl (mM)
237,E6,A3,0.005,KCl (mM)
238,E7,A3,0.0,KCl (mM)
239,E8,A3,0.0125,KCl (mM)
240,E9,A3,0.0125,KCl (mM)
241,E10,A3,0.0125,KCl (mM)
242,E11,A3,0.0,KCl (mM)
243,E12,A3,0.0125,KCl (mM)
244,F1,A3,0.0125,KCl (mM)
245,F2,A3,0.0025,KCl (mM)
246,F3,A3,0.0,KCl (mM)
247,F4,A3,0.005,KCl (mM)
248,F5,A3,0.0125,KCl (mM)
249,F6,A3,0.0125,KCl (mM)
250,F7,A3,0.0,KCl (mM)
251,F8,A3,0.0125,KCl (mM)
252,F9,A3,0.0,KCl (mM)
253,F10,A3,0.0,KCl (mM)
254,F11,A3,0.0,KCl (mM)
255,F12,A3,0.0025,KCl (mM)
256,G1,A3,0.0075,KCl (mM)
257,G2,A3,0.0,KCl (mM)
258,G3,A3,0.0125,KCl (mM)
259,G4,A3,0.0125,KCl (mM)
260,G5,A3,0.0,KCl (mM)
261,G6,A3,0.005,KCl (mM)
262,G7,A3,0.005,KCl (mM)
263,G8,A3,0.0075,KCl (mM)
264,G9,A3,0.0125,KCl (mM)
265,G10,A3,0.0025,KCl (mM)
